0.0007211538461538477,0.009932575103176886,0.00041946308724832295,0.01339526773604834,0.0014178482068390342,0.006534718534277131,0.0038365304420350287,0.005015239337641297
1.63,424452,1.57,3738887.0,1.25,311113,1.61,1470628.0
1.8,784322,1.91,6983082.0,1.35,857570,1.86,2409035.0
1.86,832797,1.9,7541685.0,1.43,865343,2.08,2121188.0
1.86,823662,1.74,7487367.0,1.5,867172,1.85,2194635.0
2.02,596765,2.1,5765184.0,1.43,748331,1.74,2183400.0
1.8,804594,1.78,8896725.0,1.47,992167,2.04,2105833.0
1.45,686242,1.49,4895659.0,1.14,590196,1.67,1303327.0
1.78,955411,1.38,10853999.0,1.29,1075604,1.71,2375387.0
1.66,792329,1.58,8045641.0,1.33,853737,1.86,2065065.0
1.62,903879,1.55,7728475.0,1.42,1006331,1.83,2016818.0
1.61,853840,1.6,6993558.0,1.38,780217,1.74,2190103.0
1.87,594359,1.78,5206207.0,1.49,884290,2.01,1789321.0
1.85,778936,1.69,6945513.0,1.61,1110710,1.96,2147508.0
1.47,470905,1.43,4315991.0,1.44,620937,1.68,1196470.0
1.98,976398,1.69,7262795.0,1.58,1032027,2.25,2116592.0
1.87,834822,1.6,6969435.0,1.62,907501,1.98,1890892.0
1.74,912271,1.43,7330826.0,1.64,772449,1.85,2281194.0
1.68,906188,1.44,7734863.0,1.6,893303,1.68,2140501.0
1.95,600615,1.67,5566106.0,1.7,748098,1.78,1575053.0
1.75,824953,1.44,7334771.0,1.63,1100546,1.57,2358559.0
1.44,564069,1.25,4016464.0,1.36,450608,1.56,1137477.0
1.77,901956,1.7,6928559.0,1.76,1061344,1.64,2177913.0
1.74,748642,1.61,6280399.0,1.69,916045,1.62,1999961.0
1.72,981547,1.47,7690800.0,1.73,847724,1.72,2243114.0
1.69,823364,1.46,7824026.0,1.72,883270,1.7,1959437.0
1.88,532948,1.61,5660244.0,1.8,708250,1.56,2067346.0
1.76,763069,1.55,6292268.0,1.78,853222,1.78,2153786.0
1.54,518360,1.4,4302296.0,1.58,436417,1.5,941439.0
1.91,1026740,1.67,6688963.0,1.81,962761,1.84,1985428.0
1.92,884908,1.55,6788986.0,1.9,901422,1.9,1824516.0
1.82,992963,1.55,8078337.0,2.0,937476,1.76,2744087.0
1.96,902762,1.75,7195681.0,1.98,992253,1.75,2237671.0
7.27,577827,1.84,5409502.0,2.12,826506,1.76,1906570.0
2.03,935494,1.57,7321458.0,2.04,1175311,1.45,3295865.0
1.67,508663,1.47,4521764.0,1.88,805469,1.23,1438384.0
2.02,951887,1.76,8319566.0,2.05,1224117,1.38,2692907.0
2.29,830736,1.67,7002538.0,1.86,1140651,1.34,2515827.0
2.14,898067,1.69,7926103.0,1.85,1185651,1.33,2966414.0
2.06,847104,1.62,7602307.0,1.92,1247890,1.4,2512908.0
2.3,569185,1.86,5801057.0,2.02,969425,1.49,2090632.0
2.16,863225,1.72,7841181.0,1.9,1273219,1.52,2532794.0
1.8,582552,1.39,5334919.0,1.71,623757,1.36,1586689.0
2.45,997162,1.73,8153001.0,1.84,1385559,1.6,2700333.0
